,Date,From,To,Price,Stock_No
30,23-10-2019,INR,AUD,0.020617955,1
63,24-10-2019,INR,AUD,0.020592999,1
96,25-10-2019,INR,AUD,0.020659924,1
129,26-10-2019,INR,AUD,0.020659924,1
162,27-10-2019,INR,AUD,0.020659924,1
195,28-10-2019,INR,AUD,0.020711285,1
228,29-10-2019,INR,AUD,0.020588946,1
261,30-10-2019,INR,AUD,0.020564805,1
294,31-10-2019,INR,AUD,0.020397535,1
327,01-11-2019,INR,AUD,0.020492032,1
360,02-11-2019,INR,AUD,0.020492032,1
393,03-11-2019,INR,AUD,0.020492032,1
426,04-11-2019,INR,AUD,0.020473768,1
459,05-11-2019,INR,AUD,0.020475238,1
492,06-11-2019,INR,AUD,0.020423077,1
525,07-11-2019,INR,AUD,0.020444563,1
558,08-11-2019,INR,AUD,0.020425418,1
591,09-11-2019,INR,AUD,0.020425418,1
624,10-11-2019,INR,AUD,0.020425418,1
657,11-11-2019,INR,AUD,0.020388528,1
690,12-11-2019,INR,AUD,0.020371285,1
723,13-11-2019,INR,AUD,0.020331825,1
756,14-11-2019,INR,AUD,0.020496839,1
789,15-11-2019,INR,AUD,0.020490633,1
822,16-11-2019,INR,AUD,0.020490633,1
855,17-11-2019,INR,AUD,0.020490633,1
888,18-11-2019,INR,AUD,0.020449223,1
921,19-11-2019,INR,AUD,0.020446488,1
954,20-11-2019,INR,AUD,0.020431109,1
987,21-11-2019,INR,AUD,0.020463129,1
1020,22-11-2019,INR,AUD,0.020545975,1
1053,23-11-2019,INR,AUD,0.020545975,1
1086,24-11-2019,INR,AUD,0.020545975,1
1119,25-11-2019,INR,AUD,0.020563234,1
1152,26-11-2019,INR,AUD,0.020618779,1
1185,27-11-2019,INR,AUD,0.020649399,1
1218,28-11-2019,INR,AUD,0.020623148,1
1251,29-11-2019,INR,AUD,0.020623352,1
1284,30-11-2019,INR,AUD,0.020623352,1
1317,01-12-2019,INR,AUD,0.020623352,1
1350,02-12-2019,INR,AUD,0.020562558,1
1383,03-12-2019,INR,AUD,0.020377691,1
1416,04-12-2019,INR,AUD,0.02044246,1
1449,05-12-2019,INR,AUD,0.02056581,1
1482,06-12-2019,INR,AUD,0.020482393,1
1515,07-12-2019,INR,AUD,0.020482393,1
1548,08-12-2019,INR,AUD,0.020482393,1
1581,09-12-2019,INR,AUD,0.020618242,1
1614,10-12-2019,INR,AUD,0.020716386,1
1647,11-12-2019,INR,AUD,0.020652583,1
1680,12-12-2019,INR,AUD,0.020478745,1
1713,13-12-2019,INR,AUD,0.020438649,1
1746,14-12-2019,INR,AUD,0.020438649,1
1779,15-12-2019,INR,AUD,0.020438649,1
1812,16-12-2019,INR,AUD,0.020449699,1
1845,17-12-2019,INR,AUD,0.020572323,1
1878,18-12-2019,INR,AUD,0.020567843,1
1911,19-12-2019,INR,AUD,0.020482842,1
1944,20-12-2019,INR,AUD,0.020363655,1
1977,21-12-2019,INR,AUD,0.020363655,1
2010,22-12-2019,INR,AUD,0.020363655,1
2043,23-12-2019,INR,AUD,0.02027728,1
2076,24-12-2019,INR,AUD,0.020289415,1
2109,25-12-2019,INR,AUD,0.020289415,1
2142,26-12-2019,INR,AUD,0.020289415,1
2175,27-12-2019,INR,AUD,0.020086141,1
2208,28-12-2019,INR,AUD,0.020086141,1
2241,29-12-2019,INR,AUD,0.020086141,1
2274,30-12-2019,INR,AUD,0.020037087,1
2307,31-12-2019,INR,AUD,0.019947124,1
2340,01-01-2020,INR,AUD,0.019947124,1
2373,02-01-2020,INR,AUD,0.020030911,1
2406,03-01-2020,INR,AUD,0.020036621,1
2439,04-01-2020,INR,AUD,0.020036621,1
2472,05-01-2020,INR,AUD,0.020036621,1
2505,06-01-2020,INR,AUD,0.020019251,1
2538,07-01-2020,INR,AUD,0.020246683,1
2571,08-01-2020,INR,AUD,0.020317656,1
2604,09-01-2020,INR,AUD,0.020455522,1
2637,10-01-2020,INR,AUD,0.020500308,1
2670,11-01-2020,INR,AUD,0.020500308,1
2703,12-01-2020,INR,AUD,0.020500308,1
2736,13-01-2020,INR,AUD,0.020447207,1
2769,14-01-2020,INR,AUD,0.02046273,1
2802,15-01-2020,INR,AUD,0.020521662,1
2835,16-01-2020,INR,AUD,0.020341829,1
2868,17-01-2020,INR,AUD,0.020418787,1
2901,18-01-2020,INR,AUD,0.020418787,1
2934,19-01-2020,INR,AUD,0.020418787,1
2967,20-01-2020,INR,AUD,0.020504163,1
3000,21-01-2020,INR,AUD,0.020442411,1
3033,22-01-2020,INR,AUD,0.020520753,1
3066,23-01-2020,INR,AUD,0.020416833,1
3099,24-01-2020,INR,AUD,0.020499555,1
3132,25-01-2020,INR,AUD,0.020499555,1
3165,26-01-2020,INR,AUD,0.020499555,1
3198,27-01-2020,INR,AUD,0.020688955,1
3231,28-01-2020,INR,AUD,0.020763627,1
3264,29-01-2020,INR,AUD,0.020785034,1
3297,30-01-2020,INR,AUD,0.020771791,1
3330,31-01-2020,INR,AUD,0.020903486,1
3363,01-02-2020,INR,AUD,0.020903486,1
3396,02-02-2020,INR,AUD,0.020903486,1
3429,03-02-2020,INR,AUD,0.020911732,1
3462,04-02-2020,INR,AUD,0.020884999,1
3495,05-02-2020,INR,AUD,0.020780794,1
3528,06-02-2020,INR,AUD,0.020798498,1
3561,07-02-2020,INR,AUD,0.020950072,1
3594,08-02-2020,INR,AUD,0.020950072,1
3627,09-02-2020,INR,AUD,0.020950072,1
3660,10-02-2020,INR,AUD,0.02096227,1
3693,11-02-2020,INR,AUD,0.020928122,1
3726,12-02-2020,INR,AUD,0.020781273,1
3759,13-02-2020,INR,AUD,0.020836803,1
3792,14-02-2020,INR,AUD,0.020849147,1
3825,15-02-2020,INR,AUD,0.020849147,1
3858,16-02-2020,INR,AUD,0.020849147,1
3891,17-02-2020,INR,AUD,0.020854128,1
3924,18-02-2020,INR,AUD,0.020926476,1
3957,19-02-2020,INR,AUD,0.020899986,1
3990,20-02-2020,INR,AUD,0.021085869,1
4023,21-02-2020,INR,AUD,0.021044577,1
4056,22-02-2020,INR,AUD,0.021044577,1
4089,23-02-2020,INR,AUD,0.021044577,1
4122,24-02-2020,INR,AUD,0.021051955,1
4155,25-02-2020,INR,AUD,0.021154341,1
4188,26-02-2020,INR,AUD,0.02125912,1
4221,27-02-2020,INR,AUD,0.021227941,1
4254,28-02-2020,INR,AUD,0.021283976,1
4287,29-02-2020,INR,AUD,0.021283976,1
4320,01-03-2020,INR,AUD,0.021283976,1
4353,02-03-2020,INR,AUD,0.021006711,1
4386,03-03-2020,INR,AUD,0.020767785,1
4419,04-03-2020,INR,AUD,0.020605503,1
4452,05-03-2020,INR,AUD,0.020592066,1
4485,06-03-2020,INR,AUD,0.020461561,1
4518,07-03-2020,INR,AUD,0.020461561,1
4551,08-03-2020,INR,AUD,0.020461561,1
4584,09-03-2020,INR,AUD,0.020397834,1
4617,10-03-2020,INR,AUD,0.02065985,1
4650,11-03-2020,INR,AUD,0.020819789,1
4683,12-03-2020,INR,AUD,0.021174582,1
4716,13-03-2020,INR,AUD,0.021598383,1
4749,14-03-2020,INR,AUD,0.021598383,1
4782,15-03-2020,INR,AUD,0.021598383,1
4815,16-03-2020,INR,AUD,0.02197627,1
4848,17-03-2020,INR,AUD,0.022419606,1
4881,18-03-2020,INR,AUD,0.022885174,1
4914,19-03-2020,INR,AUD,0.022966478,1
4947,20-03-2020,INR,AUD,0.022650842,1
4980,21-03-2020,INR,AUD,0.022650842,1
5013,22-03-2020,INR,AUD,0.022650842,1
5046,23-03-2020,INR,AUD,0.022631217,1
5079,24-03-2020,INR,AUD,0.022238277,1
5112,25-03-2020,INR,AUD,0.021757216,1
5145,26-03-2020,INR,AUD,0.022005343,1
5178,27-03-2020,INR,AUD,0.021973102,1
5211,28-03-2020,INR,AUD,0.021973102,1
5244,29-03-2020,INR,AUD,0.021973102,1
5277,30-03-2020,INR,AUD,0.021582036,1
5310,31-03-2020,INR,AUD,0.021673492,1
5343,01-04-2020,INR,AUD,0.021594394,1
5376,02-04-2020,INR,AUD,0.021565898,1
5409,03-04-2020,INR,AUD,0.021898414,1
5442,04-04-2020,INR,AUD,0.021898414,1
5475,05-04-2020,INR,AUD,0.021898414,1
5508,06-04-2020,INR,AUD,0.021667113,1
5541,07-04-2020,INR,AUD,0.021370909,1
5574,08-04-2020,INR,AUD,0.021232488,1
5607,09-04-2020,INR,AUD,0.021035242,1
5640,10-04-2020,INR,AUD,0.021035242,1
5673,11-04-2020,INR,AUD,0.021035242,1
5706,12-04-2020,INR,AUD,0.021035242,1
5739,13-04-2020,INR,AUD,0.021035242,1
5772,14-04-2020,INR,AUD,0.020527224,1
5805,15-04-2020,INR,AUD,0.020738725,1
5838,16-04-2020,INR,AUD,0.020627203,1
5871,17-04-2020,INR,AUD,0.020573947,1
5904,18-04-2020,INR,AUD,0.020573947,1
5937,19-04-2020,INR,AUD,0.020573947,1
5970,20-04-2020,INR,AUD,0.02054881,1
6003,21-04-2020,INR,AUD,0.020708597,1
6036,22-04-2020,INR,AUD,0.020679705,1
6069,23-04-2020,INR,AUD,0.020646815,1
6102,24-04-2020,INR,AUD,0.020570381,1
6135,25-04-2020,INR,AUD,0.020570381,1
6168,26-04-2020,INR,AUD,0.020570381,1
6201,27-04-2020,INR,AUD,0.020328131,1
6234,28-04-2020,INR,AUD,0.020278229,1
6267,29-04-2020,INR,AUD,0.020305652,1
6300,30-04-2020,INR,AUD,0.020337995,1
6333,01-05-2020,INR,AUD,0.020337995,1
6366,02-05-2020,INR,AUD,0.020337995,1
6399,03-05-2020,INR,AUD,0.020337995,1
6432,04-05-2020,INR,AUD,0.020561199,1
6465,05-05-2020,INR,AUD,0.020482448,1
6498,06-05-2020,INR,AUD,0.020792496,1
6531,07-05-2020,INR,AUD,0.020428405,1
6564,08-05-2020,INR,AUD,0.020269273,1
6597,09-05-2020,INR,AUD,0.020269273,1
6630,10-05-2020,INR,AUD,0.020269273,1
6663,11-05-2020,INR,AUD,0.020353001,1
6696,12-05-2020,INR,AUD,0.020375522,1
6729,13-05-2020,INR,AUD,0.020379202,1
6762,14-05-2020,INR,AUD,0.020596382,1
6795,15-05-2020,INR,AUD,0.020496777,1
6828,16-05-2020,INR,AUD,0.020496777,1
6861,17-05-2020,INR,AUD,0.020496777,1
6894,18-05-2020,INR,AUD,0.020374101,1
6927,19-05-2020,INR,AUD,0.020217613,1
6960,20-05-2020,INR,AUD,0.020096906,1
6993,21-05-2020,INR,AUD,0.020119319,1
7026,22-05-2020,INR,AUD,0.020179749,1
7059,23-05-2020,INR,AUD,0.020179749,1
7092,24-05-2020,INR,AUD,0.020179749,1
7125,25-05-2020,INR,AUD,0.020144337,1
7158,26-05-2020,INR,AUD,0.019944047,1
7191,27-05-2020,INR,AUD,0.019899093,1
7224,28-05-2020,INR,AUD,0.019917689,1
7257,29-05-2020,INR,AUD,0.019834131,1
7290,30-05-2020,INR,AUD,0.019834131,1
7323,31-05-2020,INR,AUD,0.019834131,1
7356,01-06-2020,INR,AUD,0.01964307,1
7389,02-06-2020,INR,AUD,0.019407656,1
7422,03-06-2020,INR,AUD,0.019265018,1
7455,04-06-2020,INR,AUD,0.019163566,1
7488,05-06-2020,INR,AUD,0.018950134,1
7521,06-06-2020,INR,AUD,0.018950134,1
7554,07-06-2020,INR,AUD,0.018950134,1
7587,08-06-2020,INR,AUD,0.018953321,1
7620,09-06-2020,INR,AUD,0.01906844,1
7653,10-06-2020,INR,AUD,0.018881762,1
7686,11-06-2020,INR,AUD,0.019081539,1
7719,12-06-2020,INR,AUD,0.019171791,1
7752,13-06-2020,INR,AUD,0.019171791,1
7785,14-06-2020,INR,AUD,0.019171791,1
7818,15-06-2020,INR,AUD,0.019263979,1
7851,16-06-2020,INR,AUD,0.018970807,1
7884,17-06-2020,INR,AUD,0.019043723,1
7917,18-06-2020,INR,AUD,0.019091196,1
7950,19-06-2020,INR,AUD,0.019051692,1
7983,20-06-2020,INR,AUD,0.019051692,1
8016,21-06-2020,INR,AUD,0.019051692,1
8049,22-06-2020,INR,AUD,0.019108945,1
8082,23-06-2020,INR,AUD,0.01904539,1
8115,24-06-2020,INR,AUD,0.019151866,1
8148,25-06-2020,INR,AUD,0.019266456,1
8181,26-06-2020,INR,AUD,0.019232152,1
8214,27-06-2020,INR,AUD,0.019232152,1
8247,28-06-2020,INR,AUD,0.019232152,1
8280,29-06-2020,INR,AUD,0.019257677,1
8313,30-06-2020,INR,AUD,0.019313784,1
8346,01-07-2020,INR,AUD,0.019224315,1
8379,02-07-2020,INR,AUD,0.019318586,1
8412,03-07-2020,INR,AUD,0.019297074,1
8445,04-07-2020,INR,AUD,0.019297074,1
8478,05-07-2020,INR,AUD,0.019297074,1
8511,06-07-2020,INR,AUD,0.019217676,1
8544,07-07-2020,INR,AUD,0.019251875,1
8577,08-07-2020,INR,AUD,0.019188262,1
8610,09-07-2020,INR,AUD,0.019094485,1
8643,10-07-2020,INR,AUD,0.019149939,1
8676,11-07-2020,INR,AUD,0.019149939,1
8709,12-07-2020,INR,AUD,0.019149939,1
8742,13-07-2020,INR,AUD,0.019066842,1
8775,14-07-2020,INR,AUD,0.019059722,1
8808,15-07-2020,INR,AUD,0.01895174,1
8841,16-07-2020,INR,AUD,0.019029649,1
8874,17-07-2020,INR,AUD,0.019096533,1
8907,18-07-2020,INR,AUD,0.019096533,1
8940,19-07-2020,INR,AUD,0.019096533,1
8973,20-07-2020,INR,AUD,0.019103059,1
9006,21-07-2020,INR,AUD,0.018920011,1
9039,22-07-2020,INR,AUD,0.018703644,1
9072,23-07-2020,INR,AUD,0.018764799,1
9105,24-07-2020,INR,AUD,0.018852025,1
9138,25-07-2020,INR,AUD,0.018852025,1
9171,26-07-2020,INR,AUD,0.018852025,1
9204,27-07-2020,INR,AUD,0.018742675,1
9237,28-07-2020,INR,AUD,0.01871081,1
9270,29-07-2020,INR,AUD,0.018642096,1
9303,30-07-2020,INR,AUD,0.018701387,1
9336,31-07-2020,INR,AUD,0.018602027,1
9369,01-08-2020,INR,AUD,0.018602027,1
9402,02-08-2020,INR,AUD,0.018602027,1
9435,03-08-2020,INR,AUD,0.018720692,1
9468,04-08-2020,INR,AUD,0.018663619,1
9501,05-08-2020,INR,AUD,0.018504323,1
9534,06-08-2020,INR,AUD,0.018579395,1
9567,07-08-2020,INR,AUD,0.018506651,1
9600,08-08-2020,INR,AUD,0.018506651,1
9633,09-08-2020,INR,AUD,0.018506651,1
9666,10-08-2020,INR,AUD,0.01866364,1
9699,11-08-2020,INR,AUD,0.018672464,1
9732,12-08-2020,INR,AUD,0.01875504,1
9765,13-08-2020,INR,AUD,0.018655436,1
9798,14-08-2020,INR,AUD,0.01867907,1
9831,15-08-2020,INR,AUD,0.01867907,1
9864,16-08-2020,INR,AUD,0.01867907,1
9897,17-08-2020,INR,AUD,0.018587319,1
9930,18-08-2020,INR,AUD,0.018504934,1
9963,19-08-2020,INR,AUD,0.018393121,1
9996,20-08-2020,INR,AUD,0.018590435,1
10029,21-08-2020,INR,AUD,0.018642146,1
10062,22-08-2020,INR,AUD,0.018642146,1
10095,23-08-2020,INR,AUD,0.018642146,1
10128,24-08-2020,INR,AUD,0.018746297,1
10161,25-08-2020,INR,AUD,0.018778679,1
10194,26-08-2020,INR,AUD,0.018685583,1
10227,27-08-2020,INR,AUD,0.018668317,1
10260,28-08-2020,INR,AUD,0.018593665,1
10293,29-08-2020,INR,AUD,0.018593665,1
10326,30-08-2020,INR,AUD,0.018593665,1
10359,31-08-2020,INR,AUD,0.018536959,1
10392,01-09-2020,INR,AUD,0.018581717,1
10425,02-09-2020,INR,AUD,0.018625356,1
10458,03-09-2020,INR,AUD,0.018672254,1
10491,04-09-2020,INR,AUD,0.01879485,1
10524,05-09-2020,INR,AUD,0.01879485,1
10557,06-09-2020,INR,AUD,0.01879485,1
10590,07-09-2020,INR,AUD,0.018690018,1
10623,08-09-2020,INR,AUD,0.01869676,1
10656,09-09-2020,INR,AUD,0.018779191,1
10689,10-09-2020,INR,AUD,0.018707632,1
10722,11-09-2020,INR,AUD,0.018619238,1
10755,12-09-2020,INR,AUD,0.018619238,1
10788,13-09-2020,INR,AUD,0.018619238,1
10821,14-09-2020,INR,AUD,0.01869329,1
10854,15-09-2020,INR,AUD,0.018531658,1
10887,16-09-2020,INR,AUD,0.018534031,1
10920,17-09-2020,INR,AUD,0.018595227,1
10953,18-09-2020,INR,AUD,0.018665962,1
10986,19-09-2020,INR,AUD,0.018665962,1
11019,20-09-2020,INR,AUD,0.018665962,1
11052,21-09-2020,INR,AUD,0.018732338,1
11085,22-09-2020,INR,AUD,0.018882011,1
11118,23-09-2020,INR,AUD,0.019118562,1
11151,24-09-2020,INR,AUD,0.019205825,1
11184,25-09-2020,INR,AUD,0.019305276,1
11217,26-09-2020,INR,AUD,0.019305276,1
11250,27-09-2020,INR,AUD,0.019305276,1
11283,28-09-2020,INR,AUD,0.019195471,1
11316,29-09-2020,INR,AUD,0.019022892,1
11349,30-09-2020,INR,AUD,0.019047729,1
11382,01-10-2020,INR,AUD,0.019013719,1
11415,02-10-2020,INR,AUD,0.019028912,1
11448,03-10-2020,INR,AUD,0.019028912,1
11481,04-10-2020,INR,AUD,0.019028912,1
11514,05-10-2020,INR,AUD,0.019026102,1
11547,06-10-2020,INR,AUD,0.019027047,1
11580,07-10-2020,INR,AUD,0.019127552,1
11613,08-10-2020,INR,AUD,0.019052978,1
11646,09-10-2020,INR,AUD,0.019031654,1
11679,10-10-2020,INR,AUD,0.019031654,1
11712,11-10-2020,INR,AUD,0.019031654,1
11745,12-10-2020,INR,AUD,0.018915075,1
11778,13-10-2020,INR,AUD,0.018979462,1
11811,14-10-2020,INR,AUD,0.019022178,1
11844,15-10-2020,INR,AUD,0.019259811,1
11877,16-10-2020,INR,AUD,0.019234009,1
11910,17-10-2020,INR,AUD,0.019234009,1
11943,18-10-2020,INR,AUD,0.019234009,1
11976,19-10-2020,INR,AUD,0.019185249,1
12009,20-10-2020,INR,AUD,0.019345627,1
16,23-10-2019,INR,BGN,0.024812083,2
49,24-10-2019,INR,BGN,0.02475007,2
82,25-10-2019,INR,BGN,0.024835083,2
115,26-10-2019,INR,BGN,0.024835083,2
148,27-10-2019,INR,BGN,0.024835083,2
181,28-10-2019,INR,BGN,0.024935138,2
214,29-10-2019,INR,BGN,0.024878204,2
247,30-10-2019,INR,BGN,0.024829092,2
280,31-10-2019,INR,BGN,0.024721757,2
313,01-11-2019,INR,BGN,0.024814758,2
346,02-11-2019,INR,BGN,0.024814758,2
379,03-11-2019,INR,BGN,0.024814758,2
412,04-11-2019,INR,BGN,0.024781901,2
445,05-11-2019,INR,BGN,0.024905449,2
478,06-11-2019,INR,BGN,0.024855914,2
511,07-11-2019,INR,BGN,0.024899108,2
544,08-11-2019,INR,BGN,0.024866501,2
577,09-11-2019,INR,BGN,0.024866501,2
610,10-11-2019,INR,BGN,0.024866501,2
643,11-11-2019,INR,BGN,0.02475994,2
676,12-11-2019,INR,BGN,0.024766681,2
709,13-11-2019,INR,BGN,0.024657396,2
742,14-11-2019,INR,BGN,0.024725664,2
775,15-11-2019,INR,BGN,0.024705986,2
808,16-11-2019,INR,BGN,0.024705986,2
841,17-11-2019,INR,BGN,0.024705986,2
874,18-11-2019,INR,BGN,0.024624179,2
907,19-11-2019,INR,BGN,0.024633017,2
940,20-11-2019,INR,BGN,0.024625109,2
973,21-11-2019,INR,BGN,0.024580388,2
1006,22-11-2019,INR,BGN,0.024672327,2
1039,23-11-2019,INR,BGN,0.024672327,2
1072,24-11-2019,INR,BGN,0.024672327,2
1105,25-11-2019,INR,BGN,0.024776721,2
1138,26-11-2019,INR,BGN,0.024814601,2
1171,27-11-2019,INR,BGN,0.024898949,2
1204,28-11-2019,INR,BGN,0.024816805,2
1237,29-11-2019,INR,BGN,0.024855282,2
1270,30-11-2019,INR,BGN,0.024855282,2
1303,01-12-2019,INR,BGN,0.024855282,2
1336,02-12-2019,INR,BGN,0.024763702,2
1369,03-12-2019,INR,BGN,0.024622938,2
1402,04-12-2019,INR,BGN,0.024675284,2
1435,05-12-2019,INR,BGN,0.024750853,2
1468,06-12-2019,INR,BGN,0.024743338,2
1501,07-12-2019,INR,BGN,0.024743338,2
1534,08-12-2019,INR,BGN,0.024743338,2
1567,09-12-2019,INR,BGN,0.024849124,2
1600,10-12-2019,INR,BGN,0.024895304,2
1633,11-12-2019,INR,BGN,0.02494277,2
1666,12-12-2019,INR,BGN,0.024777192,2
1699,13-12-2019,INR,BGN,0.024737861,2
1732,14-12-2019,INR,BGN,0.024737861,2
1765,15-12-2019,INR,BGN,0.024737861,2
1798,16-12-2019,INR,BGN,0.024723695,2
1831,17-12-2019,INR,BGN,0.024693353,2
1864,18-12-2019,INR,BGN,0.024789911,2
1897,19-12-2019,INR,BGN,0.024746938,2
1930,20-12-2019,INR,BGN,0.024755865,2
1963,21-12-2019,INR,BGN,0.024755865,2
1996,22-12-2019,INR,BGN,0.024755865,2
2029,23-12-2019,INR,BGN,0.024774053,2
2062,24-12-2019,INR,BGN,0.024771857,2
2095,25-12-2019,INR,BGN,0.024771857,2
2128,26-12-2019,INR,BGN,0.024771857,2
2161,27-12-2019,INR,BGN,0.024558936,2
2194,28-12-2019,INR,BGN,0.024558936,2
2227,29-12-2019,INR,BGN,0.024558936,2
2260,30-12-2019,INR,BGN,0.024505087,2
2293,31-12-2019,INR,BGN,0.024390487,2
2326,01-01-2020,INR,BGN,0.024390487,2
2359,02-01-2020,INR,BGN,0.024476106,2
2392,03-01-2020,INR,BGN,0.024444903,2
2425,04-01-2020,INR,BGN,0.024444903,2
2458,05-01-2020,INR,BGN,0.024444903,2
2491,06-01-2020,INR,BGN,0.024290372,2
2524,07-01-2020,INR,BGN,0.024366785,2
2557,08-01-2020,INR,BGN,0.024536752,2
2590,09-01-2020,INR,BGN,0.024706299,2
2623,10-01-2020,INR,BGN,0.024854019,2
2656,11-01-2020,INR,BGN,0.024854019,2
2689,12-01-2020,INR,BGN,0.024854019,2
2722,13-01-2020,INR,BGN,0.024812712,2
2755,14-01-2020,INR,BGN,0.024842338,2
2788,15-01-2020,INR,BGN,0.024793839,2
2821,16-01-2020,INR,BGN,0.024687898,2
2854,17-01-2020,INR,BGN,0.024770539,2
2887,18-01-2020,INR,BGN,0.024770539,2
2920,19-01-2020,INR,BGN,0.024770539,2
2953,20-01-2020,INR,BGN,0.024824838,2
2986,21-01-2020,INR,BGN,0.024714884,2
3019,22-01-2020,INR,BGN,0.024798869,2
3052,23-01-2020,INR,BGN,0.024726758,2
3085,24-01-2020,INR,BGN,0.024860811,2
3118,25-01-2020,INR,BGN,0.024860811,2
3151,26-01-2020,INR,BGN,0.024860811,2
3184,27-01-2020,INR,BGN,0.024837921,2
3217,28-01-2020,INR,BGN,0.024929099,2
3250,29-01-2020,INR,BGN,0.02494102,2
3283,30-01-2020,INR,BGN,0.024753515,2
3316,31-01-2020,INR,BGN,0.024786612,2
3349,01-02-2020,INR,BGN,0.024786612,2
3382,02-02-2020,INR,BGN,0.024786612,2
3415,03-02-2020,INR,BGN,0.024755865,2
3448,04-02-2020,INR,BGN,0.024847546,2
3481,05-02-2020,INR,BGN,0.024935933,2
3514,06-02-2020,INR,BGN,0.024983234,2
3547,07-02-2020,INR,BGN,0.024958367,2
3580,08-02-2020,INR,BGN,0.024958367,2
3613,09-02-2020,INR,BGN,0.024958367,2
3646,10-02-2020,INR,BGN,0.025040009,2
3679,11-02-2020,INR,BGN,0.025172953,2
3712,12-02-2020,INR,BGN,0.025127675,2
3745,13-02-2020,INR,BGN,0.025252584,2
3778,14-02-2020,INR,BGN,0.025247205,2
3811,15-02-2020,INR,BGN,0.025247205,2
3844,16-02-2020,INR,BGN,0.025247205,2
3877,17-02-2020,INR,BGN,0.025287683,2
3910,18-02-2020,INR,BGN,0.025271999,2
3943,19-02-2020,INR,BGN,0.02532288,2
3976,20-02-2020,INR,BGN,0.025309772,2
4009,21-02-2020,INR,BGN,0.02515369,2
4042,22-02-2020,INR,BGN,0.02515369,2
4075,23-02-2020,INR,BGN,0.02515369,2
4108,24-02-2020,INR,BGN,0.025130258,2
4141,25-02-2020,INR,BGN,0.025163399,2
4174,26-02-2020,INR,BGN,0.025100264,2
4207,27-02-2020,INR,BGN,0.024902595,2
4240,28-02-2020,INR,BGN,0.02466797,2
4273,29-02-2020,INR,BGN,0.02466797,2
4306,01-03-2020,INR,BGN,0.02466797,2
4339,02-03-2020,INR,BGN,0.024170446,2
4372,03-03-2020,INR,BGN,0.02401847,2
4405,04-03-2020,INR,BGN,0.02399681,2
4438,05-03-2020,INR,BGN,0.0238068,2
4471,06-03-2020,INR,BGN,0.023398655,2
4504,07-03-2020,INR,BGN,0.023398655,2
4537,08-03-2020,INR,BGN,0.023398655,2
4570,09-03-2020,INR,BGN,0.023020245,2
4603,10-03-2020,INR,BGN,0.023252883,2
4636,11-03-2020,INR,BGN,0.023416725,2
4669,12-03-2020,INR,BGN,0.023431734,2
4702,13-03-2020,INR,BGN,0.023887196,2
4735,14-03-2020,INR,BGN,0.023887196,2
4768,15-03-2020,INR,BGN,0.023887196,2
4801,16-03-2020,INR,BGN,0.023618634,2
4834,17-03-2020,INR,BGN,0.023977834,2
4867,18-03-2020,INR,BGN,0.024105355,2
4900,19-03-2020,INR,BGN,0.024104018,2
4933,20-03-2020,INR,BGN,0.02430622,2
4966,21-03-2020,INR,BGN,0.02430622,2
4999,22-03-2020,INR,BGN,0.02430622,2
5032,23-03-2020,INR,BGN,0.023814771,2
5065,24-03-2020,INR,BGN,0.023747541,2
5098,25-03-2020,INR,BGN,0.023649621,2
5131,26-03-2020,INR,BGN,0.023696757,2
5164,27-03-2020,INR,BGN,0.023600963,2
5197,28-03-2020,INR,BGN,0.023600963,2
5230,29-03-2020,INR,BGN,0.023600963,2
5263,30-03-2020,INR,BGN,0.023422755,2
5296,31-03-2020,INR,BGN,0.023592707,2
5329,01-04-2020,INR,BGN,0.023394625,2
5362,02-04-2020,INR,BGN,0.023471666,2
5395,03-04-2020,INR,BGN,0.023788557,2
5428,04-04-2020,INR,BGN,0.023788557,2
5461,05-04-2020,INR,BGN,0.023788557,2
5494,06-04-2020,INR,BGN,0.023820427,2
5527,07-04-2020,INR,BGN,0.023778145,2
5560,08-04-2020,INR,BGN,0.023599966,2
5593,09-04-2020,INR,BGN,0.023584456,2
5626,10-04-2020,INR,BGN,0.023584456,2
5659,11-04-2020,INR,BGN,0.023584456,2
5692,12-04-2020,INR,BGN,0.023584456,2
5725,13-04-2020,INR,BGN,0.023584456,2
5758,14-04-2020,INR,BGN,0.023424438,2
5791,15-04-2020,INR,BGN,0.023446903,2
5824,16-04-2020,INR,BGN,0.02336539,2
5857,17-04-2020,INR,BGN,0.023547826,2
5890,18-04-2020,INR,BGN,0.023547826,2
5923,19-04-2020,INR,BGN,0.023547826,2
5956,20-04-2020,INR,BGN,0.023523186,2
5989,21-04-2020,INR,BGN,0.02345759,2
6022,22-04-2020,INR,BGN,0.023516115,2
6055,23-04-2020,INR,BGN,0.023868684,2
6088,24-04-2020,INR,BGN,0.023745235,2
6121,25-04-2020,INR,BGN,0.023745235,2
6154,26-04-2020,INR,BGN,0.023745235,2
6187,27-04-2020,INR,BGN,0.023672378,2
6220,28-04-2020,INR,BGN,0.023700347,2
6253,29-04-2020,INR,BGN,0.023844968,2
6286,30-04-2020,INR,BGN,0.023964965,2
6319,01-05-2020,INR,BGN,0.023964965,2
6352,02-05-2020,INR,BGN,0.023964965,2
6385,03-05-2020,INR,BGN,0.023964965,2
6418,04-05-2020,INR,BGN,0.023624482,2
6451,05-05-2020,INR,BGN,0.023809553,2
6484,06-05-2020,INR,BGN,0.023856602,2
